hpirank,country,year,iso,yearcode,continent,populationthousands,lifeexpectancy,ladderwellbeing,ecofootprint,hpi,biocapacity,gdp
35,Bangladesh,2016,BGD,2016BGD,6,157977.151,71.8,4.5561409,0.811499079,50.19169361,1.6,3920.301119
95,Bulgaria,2016,BGR,2016BGR,7,7151.948,74.7,4.837560654,3.440644829,40.14805243,1.6,20578.59751
131,Bahrain,2016,BHR,2016BHR,4,1425.793,76.9,6.169673443,8.737183945,32.24323174,1.6,47937.77631
80,Bosnia and Herzegovina,2016,BIH,2016BIH,7,3386.263,77,5.180865288,3.616624633,42.88989601,1.6,13236.45206
96,Belarus,2016,BLR,2016BLR,7,9445.638,74,5.177899361,3.92232532,39.76507471,1.6,17822.60659
70,Bolivia,2016,BOL,2016BOL,1,11031.822,70.6,5.769723415,3.127037545,44.25669116,1.6,8202.550925
16,Brazil,2016,BRA,2016BRA,1,206163.056,75.2,6.374817371,2.679956558,53.78350082,1.6,14446.41281
,Bhutan,2016,BTN,2016BTN,6,736.706,70.8,,4.520954232,,1.6,10775.14643
132,Botswana,2016,BWA,2016BWA,5,2159.925,68.2,3.498936653,2.675328146,31.3556357,1.6,17117.12222
140,Central African Republic,2016,CAF,2016CAF,5,4537.683,51.6,2.693061113,1.164323601,22.34825123,1.6,884.4944169
92,Canada,2016,CAN,2016CAN,2,36382.942,82.1,7.244845867,8.147206425,40.8171384,1.6,47564.81088
8,Switzerland,2016,CHE,2016CHE,3,8379.915,83.3,7.458519936,4.600744924,56.11937518,1.6,66344.07481
31,Chile,2016,CHL,2016CHL,1,18209.072,79.8,6.579056263,4.111787612,50.82981708,1.6,24608.06503
75,China,2016,CHN,2016CHN,8,1414049.353,76.2,5.32495594,3.561086011,43.48180178,1.6,13487.82248
114,Cote d'Ivoire,2016,CIV,2016CIV,5,23822.726,56.6,4.542545795,1.256956665,35.60724689,1.6,4615.711582
104,Cameroon,2016,CMR,2016CMR,5,23926.549,58.1,4.816232204,1.33204428,37.99550162,1.6,3524.444514
94,Congo (Kinshasa),2016,COD,2016COD,5,78789.13,59.7,4.521935463,0.771842844,40.4038578,1.6,1055.572955
97,Congo (Brazzaville),2016,COG,2016COG,5,4980.996,63.6,4.119493484,1.086581587,39.05896825,1.6,4598.656999
3,Colombia,2016,COL,2016COL,1,48175.048,76.7,6.233715057,2.041412426,58.1467944,1.6,14242.80689
,Comoros,2016,COM,2016COM,5,795.597,63.7,,1.230996595,,1.6,2987.989053
1,Costa Rica,2016,CRI,2016CRI,1,4899.336,79.7,7.135617733,2.710142521,62.37983287,1.6,19211.56676
39,Cyprus,2016,CYP,2016CYP,3,1170.189,80.5,5.794618607,3.594506579,49.05419209,1.6,36526.81906
63,Czech Republic,2016,CZE,2016CZE,7,10618.868,78.9,6.735627174,5.536453224,45.00467855,1.6,37133.15493
34,Germany,2016,DEU,2016DEU,3,82193.77,80.9,6.873763084,4.762096813,50.26092251,1.6,51968.67654
61,Denmark,2016,DNK,2016DNK,3,5711.346,80.6,7.55778265,6.916156244,45.17885125,1.6,54358.03363
30,Dominican Republic,2016,DOM,2016DOM,1,10397.738,73.5,5.238698483,1.682617518,50.84355559,1.6,16166.60375
37,Algeria,2016,DZA,2016DZA,4,40551.398,76.3,5.340853691,2.35779786,49.64701731,1.6,11826.16467
2,Ecuador,2016,ECU,2016ECU,1,16491.116,76.4,6.115437508,1.691060743,59.5325466,1.6,11551.61667
71,Egypt,2016,EGY,2016EGY,4,94447.071,71.5,4.556740761,1.753555862,44.17219302,1.6,10795.80863
26,Spain,2016,ESP,2016ESP,3,46634.131,83.1,6.318612099,4.056278297,51.82363812,1.6,38600.44682
122,Estonia,2016,EST,2016EST,7,1316.507,78.1,5.649675369,7.026632994,34.629869,1.6,32232.92164
84,Ethiopia,2016,ETH,2016ETH,5,103603.461,65.5,4.297848701,1.022719119,42.03016388,1.6,1894.896632
40,Finland,2016,FIN,2016FIN,3,5497.714,81.4,7.659843445,6.14548749,48.99474076,1.6,46244.1052
32,France,2016,FRA,2016FRA,3,64667.59,82.3,6.475208759,4.42894984,50.43392161,1.6,43844.7477
98,Gabon,2016,GAB,2016GAB,5,2007.882,65.4,4.831764221,2.312826415,38.85935188,1.6,15359.80924
23,United Kingdom,2016,GBR,2016GBR,3,66297.944,81.1,6.8242836,4.32868698,52.14458882,1.6,45409.41756
77,Georgia,2016,GEO,2016GEO,7,4015.457,73.2,4.448386192,2.052957638,43.04600412,1.6,12963.74396
110,Ghana,2016,GHA,2016GHA,5,28481.947,63.1,4.514411449,1.972134304,36.91534815,1.6,4724.125116
134,Guinea,2016,GIN,2016GIN,5,11738.434,60.2,3.602854729,1.614086462,31.12473456,1.6,2253.478244
69,Greece,2016,GRC,2016GRC,3,10615.183,81.7,5.302619457,4.117237054,44.40699922,1.6,28743.41723
4,Guatemala,2016,GTM,2016GTM,1,16583.079,73.5,6.358916283,1.839335755,57.67299232,1.6,8205.754475
,Hong Kong,2016,HKG,2016HKG,8,7243.541,84.3,5.498420715,,,1.6,58096.28339
9,Honduras,2016,HND,2016HND,1,9270.794,74.7,5.648154736,1.538380265,55.73818967,1.6,5395.613969
74,Croatia,2016,HRV,2016HRV,7,4208.611,78,5.416875362,3.902592041,43.70496939,1.6,25681.55207
115,Haiti,2016,HTI,2016HTI,1,10839.976,62.9,3.352300167,0.65225687,35.58263314,1.6,2952.618729
76,Hungary,2016,HUN,2016HUN,7,9752.97,76.3,5.448901653,3.783801361,43.31716346,1.6,28260.77661
44,Indonesia,2016,IDN,2016IDN,8,261556.386,71,5.136325359,1.620646723,48.5456262,1.6,10531.19794
78,India,2016,IND,2016IND,6,1324517.25,68.9,4.179177284,1.146932709,43.02898423,1.6,5840.670229
33,Ireland,2016,IRL,2016IRL,3,4695.79,81.6,7.04073143,5.041625359,50.42761852,1.6,72962.8507
91,Iran,2016,IRN,2016IRN,4,79563.991,76,4.652730942,3.15587854,41.02257135,1.6,14205.20717
82,Iraq,2016,IRQ,2016IRQ,4,36610.632,70.1,4.412537098,1.734939452,42.29979124,1.6,11542.26426
,Iceland,2016,ISL,2016ISL,3,332.209,82.6,7.510034561,,,1.6,54125.48067
19,Israel,2016,ISR,2016ISR,4,8108.984,82.5,7.159010887,4.771553354,52.95537866,1.6,38427.74095
46,Italy,2016,ITA,2016ITA,3,60663.068,83,5.95452404,4.326680767,48.25081043,1.6,40968.14304
10,Jamaica,2016,JAM,2016JAM,1,2906.242,74.2,5.696685632,1.60550902,55.20347421,1.6,9550.810094
36,Jordan,2016,JOR,2016JOR,4,9554.286,74.2,5.27128458,1.995216108,49.70275016,1.6,10039.50576
45,Japan,2016,JPN,2016JPN,8,127763.267,84.1,5.954650879,4.464446398,48.33973477,1.6,40155.28071
125,Kazakhstan,2016,KAZ,2016KAZ,7,17830.902,72.1,5.533551693,5.8496004,34.15479972,1.6,24210.86296
81,Kenya,2016,KEN,2016KEN,5,49051.531,65.4,4.396127701,0.997617888,42.77505281,1.6,3952.745641
53,Kyrgyzstan,2016,KGZ,2016KGZ,7,6074.327,71.1,4.856534004,1.684128381,46.32117641,1.6,4912.382483
73,Cambodia,2016,KHM,2016KHM,8,15766.29,69,4.461259365,1.330308969,44.04312192,1.6,3733.955498
85,South Korea,2016,KOR,2016KOR,8,50983.446,82.4,5.970564365,5.927906679,41.72344712,1.6,39963.61047
133,Kuwait,2016,KWT,2016KWT,4,3956.862,75.2,5.947194576,8.439226413,31.2002207,1.6,54708.70268
,Laos,2016,LAO,2016LAO,8,6845.848,66.9,,1.850226676,,1.6,6896.129388
58,Lebanon,2016,LBN,2016LBN,4,6714.281,78.8,5.27072382,3.375625868,45.67735347,1.6,16108.50408
129,Liberia,2016,LBR,2016LBR,5,4586.788,62.8,3.354676008,1.138004336,33.23599467,1.6,1516.355714
87,Libya,2016,LBY,2016LBY,4,6492.16,72.3,5.43358326,3.584012617,41.48335513,1.6,10592.42442
42,Sri Lanka,2016,LKA,2016LKA,6,21021.177,76.5,4.471276045,1.510298522,48.57545597,1.6,12287.47271
138,Lesotho,2016,LSO,2016LSO,5,2075.041,52.1,3.808204889,1.331656951,28.01152779,1.6,2842.698609
